Horizon,Split,Observations,First_Date,Last_Date,Down_Count,Up_Count,Down_Proportion,Up_Proportion,Majority_Training_Class
1-day,Train,4118,2023-01-03,2025-10-22,2032,2086,0.49344341913550266,0.5065565808644973,1
1-day,Test,1030,2025-10-22,2026-06-29,508,522,0.49320388349514566,0.5067961165048543,1
7-day,Train,4089,2023-01-03,2025-10-15,1884,2205,0.4607483492296405,0.5392516507703595,1
7-day,Test,1023,2025-10-15,2026-06-19,464,559,0.45356793743890517,0.5464320625610948,1
30-day,Train,3979,2023-01-03,2025-09-18,1710,2269,0.42975622015581805,0.570243779844182,1
30-day,Test,995,2025-09-19,2026-05-18,475,520,0.47738693467336685,0.5226130653266332,1
