date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2023-01-03,RR,98.91000366210938,99.58000183105467,94.5999984741211,94.76000213623048,94742596,91.56999969482422,8.130510090614804,1.547277048614283,62.43602478263653,52.94880057247882,0.25778,-2.47,-2.47
2023-01-04,RR,101.4000015258789,101.4000015258789,95.75,97.8000030517578,62168667,92.97699966430665,9.75530478149215,1.7375644731141755,70.55716934068032,64.73450241155072,0.39253333333333335,-2.515,-2.515
2023-01-05,RR,102.66000366210938,104.26000213623048,101.36000061035156,101.77999877929688,53910901,94.35900039672852,10.57749214607973,1.9935783077394824,80.35264319043117,87.15040709877569,0.26720000000000005,,
2023-01-06,RR,102.9000015258789,104.8249969482422,102.76000213623048,103.23999786376952,29053439,95.80600051879884,89.5238344361182,2.276652772169356,81.89174983618224,81.39903088102996,0.33030000000000004,,
2023-01-09,RR,103.76000213623048,104.26000213623048,100.91999816894533,103.0,31156128,97.07000045776368,94.20410986660288,2.5703809391967463,87.57063165269838,66.30680366735287,0.0020000000000000018,,
2023-01-10,RR,101.0199966430664,105.0,100.4800033569336,103.1999969482422,40463064,98.0620002746582,78.54445982661741,2.8058153192870243,83.53745036317169,51.69524566038762,-0.13384000000000001,4.357,4.357
2023-01-11,RR,102.58000183105467,103.86000061035156,101.4000015258789,101.72000122070312,28401212,99.1520004272461,86.95418991472354,3.0108643748117148,83.57768997395716,49.841151712737336,0.0,,
2023-01-12,RR,104.0,104.8000030517578,102.66000366210938,103.5,31432133,100.28800048828126,93.97590306072034,3.2019123597385724,86.25985610416618,54.37895121445149,,,
2023-01-13,RR,108.76000213623048,109.55999755859376,104.18000030517578,104.3000030517578,54578013,101.91900100708008,95.77838759262973,3.4428149418760348,87.46810015304148,76.6985686747455,0.5691571428571429,,
2023-01-16,RR,107.16000366210938,108.66000366210938,106.36000061035156,108.4800033569336,57832776,103.3150016784668,87.16580594570644,3.6689629954278153,81.96654792316306,113.54012316066486,0.22897272727272727,-2.479,-2.479
