date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2023-02-22,LLOY,51.2599983215332,51.540000915527344,49.435001373291016,50.09999847412109,256234450,52.412000274658205,37.28287594636824,0.9566227418773812,37.4859464092594,-172.0022244025107,-0.03455098039215686,5.943,5.943
2023-02-23,LLOY,52.0,52.310001373291016,51.07699966430664,51.29999923706055,221996856,52.21500015258789,52.400375624905024,0.8533086124030327,42.99261258987051,-73.8224553800975,0.21971896551724138,5.005,5.005
2023-02-24,LLOY,51.65999984741211,52.15999984741211,51.5,52.0,340229657,52.05200004577637,45.45451003160081,0.7579324251306,43.729891573442345,-67.45383733525016,0.2170411764705882,6.662,6.662
2023-02-27,LLOY,51.790000915527344,52.29999923706055,51.70000076293945,51.84000015258789,124339369,51.92400016784668,48.11030279887313,0.6728779733897203,40.6108607536271,-49.15634445485425,0.27913333333333334,5.465,5.465
2023-02-28,LLOY,52.619998931884766,52.93999862670898,51.31999969482422,51.400001525878906,301689386,51.80699996948242,65.0663383195851,0.6104601890045769,44.56175883775367,-18.751438542454256,0.1524,1.357,1.357
2023-03-01,LLOY,51.959999084472656,52.88999938964844,51.959999084472656,52.619998931884766,363460753,51.76499977111816,54.12645831510482,0.5535813982212501,39.755338244352224,-18.480926820064685,-0.290405,,
2023-03-02,LLOY,51.34000015258789,51.869998931884766,51.02000045776367,51.79999923706055,307246676,51.60499992370605,41.36805577990893,0.4920025766848773,39.9999921749769,-78.26566542072831,,1.358,1.358
2023-03-03,LLOY,51.790000915527344,51.790000915527344,51.2400016784668,51.310001373291016,106907605,51.69300003051758,51.1400602896188,0.4367640564639233,43.58717771910056,-57.62313459613054,,0.76,0.76
2023-03-06,LLOY,51.77000045776367,51.9900016784668,51.16999816894531,51.7400016784668,112701267,51.71599998474121,61.30218546508484,0.3870806395273291,39.116370938403705,-50.29589827246728,,1.151,1.151
2023-03-07,LLOY,51.34999847412109,52.18600082397461,51.209999084472656,52.130001068115234,207997923,51.75399971008301,52.82750622979526,0.3359004190983463,43.78767820141332,-50.37511729737421,,-1.908,-1.908
2023-03-08,LLOY,51.59999847412109,51.880001068115234,50.7599983215332,50.880001068115234,243927689,51.7879997253418,61.768867257138005,0.2896880019522388,41.60400858737162,-59.568210614560094,,,
2023-03-09,LLOY,51.459999084472656,51.68999862670898,51.29600143432617,51.56999969482422,148173542,51.73399963378906,57.77458767498101,0.2461179728805715,54.51559296617448,-48.87008336992919,,,
2023-03-10,LLOY,49.775001525878906,50.23799896240234,48.90999984741211,49.70000076293945,255384226,51.54549980163574,21.46406800196888,0.1790440498056731,37.64870385655664,-228.28118734268452,,0.785,0.785
2023-03-13,LLOY,47.22499847412109,50.060001373291016,47.18000030517578,50.0,389541898,51.08899955749512,0.7812184385035521,0.0596625802184629,29.479437005029965,-316.46590478686795,,,
2023-03-14,LLOY,48.23500061035156,48.76900100708008,46.53499984741211,47.435001373291016,225025720,50.6504997253418,26.541781216796345,-0.0702680611453501,34.63689099038325,-255.41077935251084,,,
2023-03-15,LLOY,46.01499938964844,48.58000183105469,45.573001861572266,48.275001525878906,259713819,50.055999755859375,5.9996975995410144,-0.2352582078561153,23.57616692636913,-242.78604613766396,,,
2023-03-16,LLOY,47.46500015258789,47.915000915527344,46.744998931884766,46.84999847412109,323320146,49.66849975585937,25.682083911984897,-0.3899038008292883,33.132296161498914,-161.46658036447587,0.13537272727272728,,
2023-03-17,LLOY,46.25,48.70299911499024,45.79999923706055,47.81499862670898,587411174,49.11449966430664,9.189608194638192,-0.5484547985912135,29.51183740817362,-146.66542928931474,0.02849583333333333,,
2023-03-20,LLOY,46.10499954223633,46.72999954223633,43.65800094604492,44.810001373291016,275273771,48.54799957275391,26.50562184493038,-0.7022054813084376,24.62019485112731,-163.91022570886432,0.24392727272727271,,
2023-03-21,LLOY,48.15999984741211,48.69499969482422,46.64500045776367,46.64500045776367,185822724,48.22899971008301,52.79079462721712,-0.8105007567155126,36.64793632488016,-72.16644277148225,0.49272643678160927,,
2023-03-22,LLOY,47.76499938964844,49.040000915527344,47.70000076293945,47.81999969482422,220510728,47.84549980163574,48.1589880674407,-0.8890831525852121,37.23670638071391,-54.857522637481146,0.20457777777777778,,
2023-03-23,LLOY,46.84999847412109,48.119998931884766,46.84999847412109,47.61000061035156,238689623,47.38449974060059,37.42961507700071,-0.9574945770094976,32.93020241873276,-75.23398740798324,,,
2023-03-24,LLOY,45.71500015258789,46.60499954223633,44.900001525878906,46.45000076293945,256017626,46.97849960327149,24.120535131179427,-1.03187070517048,30.574277520881083,-109.73503026474334,0.148,2.554,2.554
2023-03-27,LLOY,46.31999969482422,46.79999923706055,45.845001220703125,46.36000061035156,154546828,46.8879997253418,32.37653501893894,-1.0940822181270504,34.05200565455543,-83.71079691085716,0.11538461538461539,,
2023-03-28,LLOY,46.400001525878906,47.18999862670898,46.084999084472656,46.95500183105469,238545475,46.70449981689453,34.13846329207709,-1.1416379384574693,33.333349635452024,-70.75715269627506,0.3630333333333334,,
2023-03-29,LLOY,47.125,47.18000030517578,46.334999084472656,46.334999084472656,94511578,46.81549987792969,52.68997111148601,-1.1633457914440783,36.60797746394952,-56.207497550227,0.106,2.612,2.612
2023-03-30,LLOY,47.77000045776367,48.095001220703125,47.2400016784668,47.45000076293945,250162359,46.84599990844727,64.22991623397284,-1.1547726344385982,43.38065368939842,-23.531123355412284,0.14407,,
2023-03-31,LLOY,47.67499923706055,48.1349983215332,47.41299819946289,47.70000076293945,151161530,46.98849983215332,74.637649828934,-1.1265530746383243,51.773051777350446,-16.81476076156224,-0.042423076923076924,3.289,3.289
2023-04-03,LLOY,48.23500061035156,48.834999084472656,46.78799819946289,48.119998931884766,134199094,47.20149993896485,85.0427292876184,-1.0759967089557996,50.0,0.6512036941789464,,3.159,3.159
2023-04-04,LLOY,48.10499954223633,48.83000183105469,48.03499984741211,48.3849983215332,186226167,47.19599990844726,82.62725049065853,-1.0137119912753951,60.2955618369618,33.64742949131978,,3.174,3.174
2023-04-05,LLOY,48.43000030517578,48.96500015258789,48.025001525878906,48.30500030517578,122312644,47.2625,88.66591204365568,-0.9398455855616704,55.34625806950649,59.88718600683632,,,
2023-04-06,LLOY,49.02000045776367,49.303001403808594,48.305999755859375,48.369998931884766,143126790,47.479500198364256,94.98669755366086,-0.8510369951609393,66.48808748003529,111.72443090458307,,,
2023-04-11,LLOY,49.43000030517578,49.90299987792969,48.90999984741211,48.90999984741211,189565733,47.851000213623045,90.54567802206012,-0.7490374323687407,69.18637592511311,158.28029477984794,,3.253,3.253
2023-04-12,LLOY,49.880001068115234,50.29999923706055,49.47499847412109,49.57500076293945,251841134,48.20700035095215,92.22225283400338,-0.6352303020862233,62.18130281001417,173.2292413403697,,,
2023-04-13,LLOY,48.505001068115234,48.79999923706055,48.025001525878906,48.27999877929688,163910295,48.41750030517578,66.75927907842527,-0.5404778786631331,54.601997780454816,61.02962809457848,,,
2023-04-14,LLOY,48.935001373291016,49.18999862670898,48.220001220703125,48.345001220703125,154711084,48.598500442504886,74.72225106793908,-0.4545433928131037,63.79882039829357,78.614432140195,,3.32,3.32
2023-04-17,LLOY,48.45000076293945,49.33000183105469,48.24100112915039,49.20500183105469,152695130,48.66650047302246,58.473640901108105,-0.3853425522890913,69.80447553900157,64.40856380623819,,,
2023-04-18,LLOY,48.82500076293945,49.244998931884766,48.69499969482422,48.79499816894531,100322887,48.78150062561035,65.00596866608684,-0.3233964792737246,68.76403364245208,75.08764960125136,,3.54,3.54
2023-04-19,LLOY,49.255001068115234,49.380001068115234,48.720001220703125,48.78499984741211,100329243,48.88350067138672,73.64443559319261,-0.2616473797711244,70.32026599144314,83.62344608981971,,3.344,3.344
2023-04-20,LLOY,49.005001068115234,49.834999084472656,48.834999084472656,49.56999969482422,132038364,48.97350082397461,63.12648672133818,-0.2066509859660738,64.35113814722386,83.24131861017004,,3.374,3.374
2023-04-21,LLOY,48.86000061035156,49.595001220703125,48.6349983215332,49.54999923706055,111401952,49.016500854492186,58.99777331233368,-0.1606124573296191,59.008255499936006,62.793053108557125,,,
2023-04-24,LLOY,48.90999984741211,49.3650016784668,48.59999847412109,48.70500183105469,145956656,49.00550079345703,60.42144137294303,-0.121438183880057,60.28309413941008,53.214894480118325,,5.074,5.074
2023-04-25,LLOY,48.22999954223633,48.7239990234375,47.845001220703125,48.59999847412109,181788757,48.88550071716308,15.682225360998068,-0.0991920982779843,49.95917497958749,-10.171019547043723,,,
2023-04-26,LLOY,48.59999847412109,48.685001373291016,47.67300033569336,48.310001373291016,134294890,48.75750045776367,35.287343970539546,-0.0825932537139415,53.88844305854136,-17.216092184287117,,,
2023-04-27,LLOY,48.81999969482422,49.266998291015625,48.51499938964844,48.63999938964844,111447928,48.78900032043457,43.66196569530038,-0.0667058915699442,53.11501003642852,34.99773799974014,,,
2023-04-28,LLOY,48.20000076293945,48.61600112915039,47.244998931884766,48.560001373291016,227729312,48.71550025939941,31.260285946182183,-0.0618369992298172,43.48172038576348,-91.09603941781444,,,
2023-05-02,LLOY,47.68000030517578,48.755001068115234,47.68000030517578,48.0,227428509,48.63850021362305,14.238996066679151,-0.0722848702515212,36.32812825962824,-94.73600768432826,,,
2023-05-03,LLOY,45.97999954223633,48.05500030517578,45.29999923706055,47.59999847412109,359768316,48.354000091552734,14.994494554698218,-0.1187430646038897,24.50979903281238,-280.0988129422818,,5.104,5.104
2023-05-04,LLOY,45.35499954223633,46.36000061035156,45.04999923706055,45.90499877929688,199743764,47.96399993896485,6.374092265451916,-0.1950372871755726,27.17390703418964,-300.0045471888642,,4.331,4.331
2023-05-05,LLOY,45.810001373291016,46.3650016784668,45.5099983215332,45.59000015258789,177734509,47.644499969482425,15.883012757910612,-0.2783288670956419,27.4368330479886,-206.5768811153037,-0.04378999999999999,2.608,2.608
2023-05-09,LLOY,46.130001068115234,46.41999816894531,45.61299896240234,45.77999877929688,438134925,47.37150001525879,22.570571901664515,-0.3559001967633565,32.8402443662695,-155.00303105353817,-0.029024999999999995,,
2023-05-10,LLOY,46.16999816894531,46.84000015258789,45.900001525878906,46.52999877929688,144013742,47.09749984741211,23.40645700313865,-0.4243704681875873,29.33849876059432,-115.49722183406828,0.7393000000000001,3.769,3.769
2023-05-11,LLOY,45.875,46.53499984741211,45.334999084472656,46.150001525878906,183347019,46.86199989318848,17.241395804550372,-0.4872863452066079,23.13193461035792,-118.02644733393008,-0.04622857142857143,,
2023-05-12,LLOY,45.560001373291016,46.29499816894531,45.560001373291016,46.040000915527344,236333824,46.55800018310547,11.221164216560563,-0.5473376761490149,22.895342164468488,-106.00384476726218,0.148,3.86,3.86
2023-05-15,LLOY,46.27000045776367,46.27000045776367,45.61000061035156,45.915000915527344,288425062,46.30300025939941,28.27347695093144,-0.5898704611080562,31.28611079720072,-81.10322330397666,0.025733333333333334,,
2023-05-16,LLOY,45.70000076293945,46.375,45.70000076293945,46.119998931884766,236238207,46.05300025939941,15.413840922474876,-0.6269429000914358,28.42741046478838,-77.73924380337628,0.4995333333333334,,
2023-05-17,LLOY,46.29499816894531,46.29499816894531,45.1349983215332,45.5,267678810,45.91450004577637,29.523339131819213,-0.6477277356969069,36.84565940913879,-70.66540763893252,0.1129,,
2023-05-18,LLOY,46.5099983215332,46.98500061035156,46.3849983215332,46.84999847412109,152617500,45.96749992370606,34.62175508679184,-0.6523077372245135,35.48609620993571,-30.60174900952944,0.0009000000000000119,,
2023-05-19,LLOY,46.720001220703125,46.92100143432617,46.44499969482422,46.65999984741211,143678822,46.104000091552734,45.07425528497473,-0.6416535565573359,35.39638394027209,-22.39702984633697,-0.09053333333333333,,
2023-05-22,LLOY,46.93999862670898,47.025001525878906,46.619998931884766,46.775001525878906,383664314,46.21699981689453,51.01210406447813,-0.617037007008519,40.72162457948399,-7.323291083491329,0.0815,,
2023-05-23,LLOY,47.59000015258789,47.59000015258789,46.8849983215332,47.15999984741211,162101962,46.362999725341794,84.52579077186341,-0.5731828084773931,49.349709349599095,32.08270303337197,-0.11234999999999999,,
2023-05-24,LLOY,46.76499938964844,47.459999084472656,46.59999847412109,47.21500015258789,382800439,46.42249984741211,67.51966670971966,-0.5314257395831437,56.49297419823444,11.830458352381797,-0.10235000000000001,,
2023-05-25,LLOY,45.83000183105469,47.18000030517578,45.83000183105469,46.43999862670898,268083564,46.418000030517575,28.30969414075368,-0.5068781986781403,53.73723755539723,-36.66609920310768,-0.24408333333333335,,
2023-05-26,LLOY,45.505001068115234,46.095001220703125,45.30500030517578,46.0,261876412,46.4125,15.071383731843298,-0.4984339985816968,47.55019474900787,-89.13836880874112,-0.11274827586206898,,
