date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2023-02-10,ASC,824.0,906.5,814.5,887.5,1025807,904.15,34.251290877796905,72.77241274608708,59.7812879708384,14.229012762497572,0.020565,,
2023-02-13,ASC,825.0,835.5,808.0,820.0,471871,899.15,29.49907235621521,69.82722841302228,57.29032258064516,-13.888822701960684,0.07384444444444445,,
2023-02-14,ASC,818.0,853.0,811.5,833.0,390456,893.7,16.167360456548113,65.91217311855641,55.1948051948052,-13.730321511549317,0.143975,-54.043,-54.043
2023-02-15,ASC,830.5,833.5750122070312,806.5,822.0,293488,887.6,16.3265306122449,61.64365818709653,54.0612516644474,-23.228706758360342,-0.06142500000000001,,
2023-02-16,ASC,825.0,863.0,809.9409790039062,844.0,438813,871.9,13.636363636363637,57.14911655492581,51.95681511470985,-21.37222047907245,0.43430833333333335,,
2023-02-17,ASC,834.0,848.0,801.5,808.0,406194,859.0,15.22248243559719,52.76185241173406,43.4920634920635,-32.50409851159138,0.29275555555555555,-54.396,-54.396
2023-02-20,ASC,828.0,843.0,808.0,808.0,261416,850.3,12.412177985948478,48.455833926322114,43.01412872841445,-41.280568169925566,0.11532222222222223,,
2023-02-21,ASC,818.0,840.0,816.0,830.0,269727,840.75,7.728337236533957,44.15648244291041,38.12600969305331,-51.1715837362151,0.16049411764705884,,
2023-02-22,ASC,810.0,825.5,794.5,815.0,520474,831.75,8.721094752342777,39.85841193323232,12.11453744493393,-78.68527181429722,0.19778666666666667,-54.906,-54.906
2023-02-23,ASC,840.0,864.0,814.0,814.0,418825,825.25,29.73856209150327,36.17424336672485,24.159663865546207,-37.99338119135291,-0.11287499999999999,,
2023-02-24,ASC,822.0,855.5,814.625,855.5,381338,825.05,18.0327868852459,32.69835894388659,27.644230769230774,-54.96436603942821,-0.1825,,
2023-02-27,ASC,854.5,858.5,822.0,832.5,208162,828.0,39.34426229508197,29.979226936525077,37.65690376569038,-30.687605704232578,0.052268,-55.445,-55.445
2023-02-28,ASC,875.0,875.0,834.5,851.5,585261,833.7,60.526315789473685,28.1356908801354,44.91869918699187,-3.304140269064393,0.20682222222222224,,
2023-03-01,ASC,855.0,894.0,852.0,894.0,391328,836.15,54.017857142857146,26.554387359208043,40.42145593869732,6.549679568128847,-0.07216666666666667,,
2023-03-02,ASC,871.5,888.5,846.5,879.5,363602,840.8,77.38693467336684,25.423065697823148,62.08651399491094,20.817081245340948,,,
2023-03-03,ASC,925.0,925.0,860.0,873.0,505450,849.9,100.0,25.428706643590864,70.08032128514056,102.27183990386054,,-50.183,-50.183
2023-03-06,ASC,941.5,960.0,913.5,943.0,646199,861.25,88.82175226586102,26.35196871430608,73.88781431334623,170.21085276708018,,,
2023-03-07,ASC,933.5,961.0,921.5059814453124,928.0,442250,872.8,83.48348348348348,27.61428221070746,70.2755905511811,160.77449735816847,,-50.69,-50.69
