Horizon,Split,Observations,First_Date,Last_Date,Down_Count,Up_Count,Down_Proportion,Up_Proportion,Majority_Training_Class
1-day,Train,856,2020-03-02,2025-09-22,419,437,0.4894859813084112,0.5105140186915887,1
1-day,Test,215,2025-09-23,2026-06-29,113,102,0.5255813953488372,0.4744186046511628,1
7-day,Train,848,2020-03-02,2025-09-10,355,493,0.4186320754716981,0.5813679245283019,1
7-day,Test,212,2025-09-11,2026-06-19,103,109,0.4858490566037736,0.5141509433962265,1
30-day,Train,825,2020-03-02,2025-07-21,358,467,0.43393939393939396,0.566060606060606,1
30-day,Test,207,2025-07-21,2026-05-15,106,101,0.5120772946859904,0.48792270531400966,1
