Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
LSTM,1-day,LLOY,300,0.5033333333333333,0.522760180995475,0.5532994923857868,0.6411764705882353,0.5940054495912807,0.5666666666666667,With Behavioral
LSTM,1-day,RR,299,0.4782608695652174,0.4950887627286653,0.532608695652174,0.3024691358024691,0.3858267716535433,0.5418060200668896,With Behavioral
LSTM,1-day,SBRY,289,0.5397923875432526,0.5325937897933196,0.5863874345549738,0.6746987951807228,0.6274509803921569,0.5743944636678201,With Behavioral
Logistic Regression,1-day,LLOY,300,0.5433333333333333,0.4691402714932127,0.5720524017467249,0.7705882352941177,0.656641604010025,0.5666666666666667,With Behavioral
Logistic Regression,1-day,RR,299,0.5217391304347826,0.47742633144093,0.5426008968609866,0.7469135802469136,0.6285714285714286,0.5418060200668896,With Behavioral
Logistic Regression,1-day,SBRY,289,0.5155709342560554,0.4625330590655304,0.5663265306122449,0.6686746987951807,0.6132596685082873,0.5743944636678201,With Behavioral
Random Forest,1-day,LLOY,300,0.5233333333333333,0.5014479638009051,0.5870967741935483,0.5352941176470588,0.56,0.5666666666666667,With Behavioral
Random Forest,1-day,RR,299,0.5384615384615384,0.5273272055510498,0.5705882352941176,0.5987654320987654,0.5843373493975904,0.5418060200668896,With Behavioral
Random Forest,1-day,SBRY,289,0.4913494809688581,0.4980409442648643,0.5655172413793104,0.4939759036144578,0.5273311897106109,0.5743944636678201,With Behavioral
SVM,1-day,LLOY,300,0.54,0.4836877828054299,0.5672268907563025,0.7941176470588235,0.6617647058823529,0.5666666666666667,With Behavioral
SVM,1-day,RR,299,0.5117056856187291,0.4907632693520771,0.536697247706422,0.7222222222222222,0.6157894736842106,0.5418060200668896,With Behavioral
SVM,1-day,SBRY,289,0.5294117647058824,0.4867029091977667,0.5694444444444444,0.7409638554216867,0.643979057591623,0.5743944636678201,With Behavioral
LSTM,7-day,LLOY,299,0.5317725752508361,0.4833755987602141,0.5826771653543307,0.8131868131868132,0.6788990825688074,0.6086956521739131,With Behavioral
LSTM,7-day,RR,297,0.4915824915824915,0.4723433110529884,0.5870646766169154,0.6344086021505376,0.6098191214470284,0.6262626262626263,With Behavioral
LSTM,7-day,SBRY,288,0.5173611111111112,0.5240633488801189,0.6,0.6703910614525139,0.633245382585752,0.6215277777777778,With Behavioral
Logistic Regression,7-day,LLOY,299,0.6086956521739131,0.4923452615760308,0.6086956521739131,1.0,0.7567567567567568,0.6086956521739131,With Behavioral
Logistic Regression,7-day,RR,297,0.6161616161616161,0.4424101520875714,0.6224489795918368,0.9838709677419356,0.7625,0.6262626262626263,With Behavioral
Logistic Regression,7-day,SBRY,288,0.6354166666666666,0.559581774383681,0.6330935251798561,0.9832402234636872,0.7702407002188184,0.6215277777777778,With Behavioral
Random Forest,7-day,LLOY,299,0.5418060200668896,0.5044613506151968,0.616580310880829,0.6538461538461539,0.6346666666666667,0.6086956521739131,With Behavioral
Random Forest,7-day,RR,297,0.5016835016835017,0.471035551680713,0.6055555555555555,0.5860215053763441,0.5956284153005464,0.6262626262626263,With Behavioral
Random Forest,7-day,SBRY,288,0.5868055555555556,0.6148326585003332,0.7054794520547946,0.5754189944134078,0.6338461538461538,0.6215277777777778,With Behavioral
SVM,7-day,LLOY,299,0.5719063545150501,0.4478256785949094,0.6046511627906976,0.8571428571428571,0.7090909090909091,0.6086956521739131,With Behavioral
SVM,7-day,RR,297,0.5353535353535354,0.4117504601375569,0.6016949152542372,0.7634408602150538,0.6729857819905213,0.6262626262626263,With Behavioral
SVM,7-day,SBRY,288,0.5972222222222222,0.558197939623802,0.6412556053811659,0.7988826815642458,0.7114427860696517,0.6215277777777778,With Behavioral
LSTM,30-day,LLOY,295,0.7830508474576271,0.405886287625418,0.782312925170068,1.0,0.8778625954198473,0.7796610169491526,With Behavioral
LSTM,30-day,RR,292,0.6575342465753424,0.5509391645640594,0.6923076923076923,0.9219512195121952,0.7907949790794979,0.702054794520548,With Behavioral
