Horizon,Split,Observations,First_Date,Last_Date,Down_Count,Up_Count,Down_Proportion,Up_Proportion,Majority_Training_Class
1-day,Train,3548,2020-01-24,2025-03-14,1763,1785,0.49689966178128525,0.5031003382187148,1
1-day,Test,888,2025-03-14,2026-06-29,390,498,0.4391891891891892,0.5608108108108109,1
7-day,Train,3536,2020-01-24,2025-03-07,1643,1893,0.46464932126696834,0.5353506787330317,1
7-day,Test,884,2025-03-07,2026-06-19,337,547,0.38122171945701355,0.6187782805429864,1
30-day,Train,3484,2020-01-24,2025-02-11,1517,1967,0.4354190585533869,0.5645809414466131,1
30-day,Test,872,2025-02-11,2026-05-18,264,608,0.30275229357798167,0.6972477064220184,1
