Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Feature_Set
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5392419135791352,0.5072999638448085,0.5609359164520079,0.7875896539358078,0.6541505316711588,With Behavioral
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.4477297758307562,0.4508542161381133,0.4323504347086939,0.4416461916461916,0.431176044906022,With Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4824375315715012,0.473198361381336,0.5581380454051581,0.3626344809037117,0.4358939520624303,With Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5294084141906884,0.5492612780407241,0.5634456511649494,0.1953901953901954,0.2822177822177822,With Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5187946128207704,0.5032639749990071,0.5767134951042997,0.5326934283665054,0.5531906476243226,With Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.4880173477577665,0.4817309147609336,0.4728293077130286,0.4021294021294022,0.4325497650893257,With Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4575490754352543,0.4796136182280818,0.5265490984719573,0.2398937600860677,0.3276321072299947,With Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5108790646664557,0.4858730980245699,0.5148148148148148,0.082017082017082,0.1388369362804631,With Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5499363762786582,0.4948210501373797,0.598307626251673,0.8215658418998029,0.6908286869071182,With Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4585483316133471,0.4160866985424956,0.4889370547042553,0.6441338999818532,0.5556240685644455,With Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5108967910981334,0.5003326543410531,0.6088299073901393,0.5791015683111118,0.5903463581065448,With Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.5042497993349386,0.516542701124902,0.5373798585333524,0.4608424213687371,0.4949624366344623,With Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5210350973773793,0.5195703586305593,0.6320544508107704,0.5504823444389481,0.5879076776909594,With Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.5055397890150212,0.504424438023057,0.5370053867281763,0.4613165797376323,0.4946716354483345,With Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5592617069127136,0.4932566286707757,0.6216972494862961,0.7328241417750353,0.6718715836671766,With Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.466130604288499,0.481854300916432,0.4897758972274621,0.383367285414069,0.4291501778318807,With Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.678068323518155,0.4261894492327595,0.6907586573180448,0.9720853858784894,0.8053285530248447,With Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4371943515421776,0.3517298976056497,0.4647798742138365,0.822416216626484,0.5925039059779363,With Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.466665432053039,0.468023505090137,0.6815228892803004,0.4648658275732337,0.541806159939818,With Behavioral
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.5217242660720921,0.5161074290029134,0.5362573099415204,0.3607799267960003,0.4293282969753558,With Behavioral
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.540046339164825,0.54533409464501,0.733206974437823,0.5367447911453315,0.6176294219758658,With Behavioral
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4827722036417688,0.4520053880654618,0.4677868427868428,0.3660692632318021,0.4081607000498222,With Behavioral
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5319600314414937,0.445786122633534,0.6733277048503523,0.643494961796144,0.6551046963435648,With Behavioral
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4661278335191379,0.3907751618786343,0.4550893193323014,0.3663775675420747,0.4010333675132282,With Behavioral
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.5233096113265785,0.5006051630661098,0.5594073324336483,0.6471183730799115,0.5937677073749347,Without Behavioral
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.4749382161508095,0.4617009825901412,0.4592019026325595,0.4042061542061542,0.428512827997364,Without Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4813467955921119,0.4739323192266787,0.554602084922451,0.3706349740003586,0.4415267708399539,Without Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5348515355306431,0.5435187525792977,0.581060606060606,0.1929624429624429,0.2808983346315047,Without Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.491315473994866,0.4900285592522015,0.5514583020142694,0.487839564281872,0.5176533178904666,Without Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5098502005597455,0.5055121774214878,0.5008636067082254,0.4288931788931789,0.4619582486195825,Without Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,883,0.4403830593296836,0.4684091492653107,0.0,0.0,0.0,Without Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,918,0.5098217677155292,0.4793181238876303,0.0,0.0,0.0,Without Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.6070315046825113,0.511787324350992,0.6148546989014653,0.9783783783783784,0.7549832799277206,Without Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4834164660016053,0.4695592842361368,0.5048752786378438,0.8321713526391888,0.6281420482545972,Without Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5162943426366245,0.4531197279628008,0.6031917694485055,0.6360186292036041,0.6160546287552897,Without Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4976708519665176,0.5122888352746546,0.5164701830194293,0.4249073635038547,0.4611871748420661,Without Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5109377517095638,0.5136247569653428,0.6183088518457391,0.5439394887340812,0.5779998392456,Without Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4749383671597293,0.4748313697547354,0.502859477124183,0.4259917812549392,0.4597147969399712,Without Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,880,0.5405125287675623,0.4897214045349069,0.6232942127234478,0.6451417558488765,0.6327647979450614,Without Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,914,0.4716130604288498,0.4663775225962923,0.4945667841351294,0.3758305088714445,0.4233684268046119,Without Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.6746200476560861,0.4308424524384426,0.6886920557696764,0.9704433497536944,0.8033743003044361,Without Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4294202898550724,0.3868998708361897,0.4584842460017775,0.8182215156956832,0.5860828878063682,Without Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.4553588404508809,0.4615414313982061,0.6704929163589767,0.4489843701719829,0.5283995866119864,Without Behavioral
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.517257525083612,0.515107325778222,0.5271464646464646,0.3224511624544428,0.3937854282593998,Without Behavioral
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5029400265853469,0.5113793592872268,0.6908585588605702,0.5223915957526485,0.5925415070242656,Without Behavioral
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4538461538461538,0.4194951289076544,0.4490341243158965,0.4324080599297919,0.4395963619100602,Without Behavioral
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,869,0.5296233193821994,0.4761432146649422,0.6787738558230362,0.6191810394046807,0.645199046096478,Without Behavioral
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,899,0.4805871423262727,0.4175905913183322,0.477878049316031,0.3856237069292671,0.4243428721553021,Without Behavioral
