Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
LSTM,1-day,ASC,306,0.4673202614379085,0.4642062949024975,0.4619289340101523,0.6148648648648649,0.527536231884058,0.4836601307189542,With Behavioral
LSTM,1-day,CPI,307,0.4299674267100977,0.4452508276037688,0.4117647058823529,0.3181818181818182,0.358974358974359,0.501628664495114,With Behavioral
LSTM,1-day,CRST,305,0.4459016393442623,0.4431055259080737,0.4233576642335766,0.3918918918918919,0.4070175438596491,0.4852459016393443,With Behavioral
LSTM,1-day,LLOY,299,0.5551839464882943,0.50737369139736,0.5703125,0.863905325443787,0.6870588235294117,0.5652173913043478,With Behavioral
LSTM,1-day,RR,297,0.5050505050505051,0.4930656934306568,0.5326633165829145,0.6625,0.5905292479108635,0.5387205387205387,With Behavioral
LSTM,1-day,SBRY,287,0.5574912891986062,0.5214605067064084,0.5798319327731093,0.8363636363636363,0.684863523573201,0.5749128919860628,With Behavioral
Logistic Regression,1-day,ASC,306,0.5294117647058824,0.5342541908997605,0.5714285714285714,0.1081081081081081,0.1818181818181818,0.4836601307189542,With Behavioral
Logistic Regression,1-day,CPI,307,0.5309446254071661,0.5798319327731092,0.5925925925925926,0.2077922077922078,0.3076923076923077,0.501628664495114,With Behavioral
Logistic Regression,1-day,CRST,305,0.5278688524590164,0.5336977104493028,0.5263157894736842,0.2702702702702703,0.3571428571428571,0.4852459016393443,With Behavioral
Logistic Regression,1-day,LLOY,299,0.4782608695652174,0.464815657715066,0.5747126436781609,0.2958579881656805,0.390625,0.5652173913043478,With Behavioral
Logistic Regression,1-day,RR,297,0.4882154882154882,0.473905109489051,0.54,0.3375,0.4153846153846154,0.5387205387205387,With Behavioral
Logistic Regression,1-day,SBRY,287,0.4808362369337979,0.4808743169398908,0.5597014925373134,0.4545454545454545,0.5016722408026756,0.5749128919860628,With Behavioral
Random Forest,1-day,ASC,306,0.4869281045751634,0.4737641122134793,0.4571428571428571,0.3243243243243243,0.3794466403162055,0.4836601307189542,With Behavioral
Random Forest,1-day,CPI,307,0.4885993485342019,0.4981113657584246,0.4883720930232558,0.4090909090909091,0.4452296819787986,0.501628664495114,With Behavioral
Random Forest,1-day,CRST,305,0.4885245901639344,0.4733172663108969,0.4729729729729729,0.4729729729729729,0.4729729729729729,0.4852459016393443,With Behavioral
Random Forest,1-day,LLOY,299,0.5250836120401338,0.4810650887573964,0.593103448275862,0.5088757396449705,0.5477707006369427,0.5652173913043478,With Behavioral
Random Forest,1-day,RR,297,0.5016835016835017,0.4903512773722627,0.5370370370370371,0.54375,0.5403726708074534,0.5387205387205387,With Behavioral
Random Forest,1-day,SBRY,287,0.5296167247386759,0.5383755588673622,0.6,0.5454545454545454,0.5714285714285714,0.5749128919860628,With Behavioral
SVM,1-day,ASC,306,0.5163398692810458,0.4580910023947999,0.5,0.0405405405405405,0.075,0.4836601307189542,With Behavioral
SVM,1-day,CPI,307,0.5146579804560261,0.52595280536457,0.6,0.0974025974025974,0.1675977653631284,0.501628664495114,With Behavioral
SVM,1-day,CRST,305,0.5016393442622951,0.4735754863143398,0.4444444444444444,0.1081081081081081,0.1739130434782608,0.4852459016393443,With Behavioral
SVM,1-day,LLOY,299,0.4615384615384615,0.4989303595812472,0.5487804878048781,0.2662721893491124,0.3585657370517928,0.5652173913043478,With Behavioral
SVM,1-day,RR,297,0.4511784511784512,0.4494981751824817,0.4727272727272727,0.1625,0.241860465116279,0.5387205387205387,With Behavioral
SVM,1-day,SBRY,287,0.4599303135888501,0.4904123199205166,0.5581395348837209,0.2909090909090909,0.3824701195219123,0.5749128919860628,With Behavioral
LSTM,7-day,ASC,304,0.4901315789473684,0.428055990262563,0.5165876777251185,0.6728395061728395,0.5844504021447721,0.5328947368421053,With Behavioral
LSTM,7-day,CPI,306,0.4019607843137255,0.2907948884557071,0.4719626168224299,0.5906432748538012,0.5246753246753246,0.5588235294117647,With Behavioral
LSTM,7-day,CRST,304,0.4835526315789473,0.5294092169092168,0.4782608695652174,0.668918918918919,0.5577464788732395,0.4868421052631579,With Behavioral
LSTM,7-day,LLOY,298,0.5100671140939598,0.4644661661236247,0.5670498084291188,0.8176795580110497,0.669683257918552,0.6073825503355704,With Behavioral
LSTM,7-day,RR,296,0.5033783783783784,0.4254687119551985,0.5863636363636363,0.6972972972972973,0.6370370370370371,0.625,With Behavioral
LSTM,7-day,SBRY,286,0.6363636363636364,0.594528272333316,0.6415094339622641,0.9497206703910616,0.7657657657657657,0.6258741258741258,With Behavioral
Logistic Regression,7-day,ASC,304,0.4506578947368421,0.4400539036689271,0.4832214765100671,0.4444444444444444,0.4630225080385852,0.5328947368421053,With Behavioral
Logistic Regression,7-day,CPI,306,0.5620915032679739,0.616374269005848,0.6434108527131783,0.4853801169590643,0.5533333333333333,0.5588235294117647,With Behavioral
Logistic Regression,7-day,CRST,304,0.5,0.4931999306999307,0.4855072463768116,0.4527027027027027,0.4685314685314685,0.4868421052631579,With Behavioral
Logistic Regression,7-day,LLOY,298,0.4765100671140939,0.4749964584218727,0.5766871165644172,0.5193370165745856,0.5465116279069767,0.6073825503355704,With Behavioral
