Horizon,Split,Observations,First_Date,Last_Date,Down_Count,Up_Count,Down_Proportion,Up_Proportion,Majority_Training_Class
1-day,Train,1518,2020-02-03,2025-05-01,750,768,0.49407114624505927,0.5059288537549407,1
1-day,Test,380,2025-05-01,2026-06-26,154,226,0.4052631578947368,0.5947368421052631,1
7-day,Train,1512,2020-02-03,2025-04-25,728,784,0.48148148148148145,0.5185185185185185,1
7-day,Test,379,2025-04-25,2026-06-18,127,252,0.33509234828496043,0.6649076517150396,1
30-day,Train,1490,2020-02-03,2025-04-02,669,821,0.448993288590604,0.5510067114093959,1
30-day,Test,373,2025-04-02,2026-05-18,105,268,0.28150134048257375,0.7184986595174263,1
