Date,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20
2016-06-01,9631.6376953125,9751.2783203125,9567.609375,9741.400390625,147755,,,,,
2016-06-02,9686.5185546875,9704.8125,9595.05078125,9631.6376953125,164955,,,,,
2016-06-03,9622.4912109375,9741.400390625,9558.462890625,9741.400390625,102400,,,,,
2016-06-06,9695.666015625,9741.400390625,9604.0146484375,9631.6376953125,83027,,,,,
2016-06-07,9750.546875,9823.7216796875,9695.666015625,9704.8125,103451,,,,,
2016-06-08,9723.1064453125,9723.1064453125,9631.6376953125,9704.8125,99261,,,,,
2016-06-09,9640.78515625,9723.1064453125,9622.4912109375,9677.3720703125,101606,,,,,
2016-06-10,9393.8193359375,9640.78515625,9393.8193359375,9640.78515625,112111,,,,,
2016-06-13,9192.5888671875,9329.7919921875,9174.294921875,9329.7919921875,194407,,,,,
2016-06-14,9032.5185546875,9165.1484375,9032.5185546875,9133.1337890625,226921,9536.96787109375,,,,
2016-06-15,9078.2529296875,9146.8544921875,9050.8125,9087.400390625,159261,9481.62939453125,,,,
2016-06-16,8927.330078125,9046.2392578125,8863.3017578125,8991.3583984375,156877,9405.710546875,,,,
2016-06-17,9146.8544921875,9165.1484375,8982.2109375,8995.931640625,270260,9358.146875,,,,
2016-06-20,9567.609375,9567.609375,9348.0849609375,9357.232421875,237844,9345.3412109375,73.33329943973888,,,
2016-06-21,9759.693359375,9796.28125,9439.5537109375,9531.0224609375,240134,9346.255859375,93.33329943973888,,53.21100423190714,
2016-06-22,9805.427734375,9878.6025390625,9750.546875,9823.7216796875,153458,9354.48798828125,92.79279539237525,,52.99539533274981,
2016-06-23,9970.0712890625,10034.099609375,9805.427734375,9887.75,120724,9387.4166015625,94.53122328273405,,58.33332552888411,
2016-06-24,9050.8125,9192.5888671875,8524.8681640625,8524.8681640625,455676,9353.11591796875,34.84848778966426,,39.00155367024615,
2016-06-27,7761.10595703125,8620.91015625,7674.2109375,8287.0498046875,528537,9209.967626953125,3.6821660515963828,,26.12513566812001,
2016-06-28,8273.330078125,8355.6513671875,7925.74951171875,8104.11328125,633943,9134.048779296874,25.38760187144686,,34.41494758129875,-186.60149838468092
2016-06-29,8598.04296875,8598.04296875,8346.5048828125,8346.5048828125,300162,9086.027783203124,39.147271744644996,,39.34578696962072,-115.27275041418001
2016-06-30,8799.2744140625,8799.2744140625,8428.826171875,8575.17578125,312495,9073.222216796876,47.674430153037875,,43.86793108470461,-81.37632380937583
2016-07-01,8689.51171875,8840.4345703125,8652.9248046875,8817.5673828125,245666,9027.487939453125,43.023249077394574,,44.71153786927797,-66.37791294656085
2016-07-04,8538.5888671875,8730.6728515625,8538.5888671875,8730.6728515625,136743,8924.585888671874,36.627911307389205,,44.797692974359364,-76.94446144304572
2016-07-05,8387.666015625,8593.4697265625,8369.3720703125,8552.30859375,294466,8787.383154296875,30.232573537383832,,42.88407772883299,-90.26456331018109
2016-07-06,8241.3154296875,8364.798828125,8195.58203125,8364.798828125,291495,8630.971923828125,24.030984975953082,,42.924524120993155,-104.74303489730389
2016-07-07,8305.34375,8355.6513671875,8149.84716796875,8232.1689453125,175495,8464.499169921875,26.744177385221594,,41.03313996346271,-94.67753316117461
2016-07-08,8456.2666015625,8534.015625,8364.798828125,8415.1064453125,166279,8405.044580078125,33.13951515522697,,37.43537251531694,-61.491259252976896
2016-07-11,8762.6865234375,8771.833984375,8428.826171875,8552.30859375,176046,8505.20263671875,46.12402266725042,,39.01210488952642,-28.21591110951843
2016-07-12,8808.4208984375,8904.462890625,8744.392578125,8744.392578125,198586,8558.71171875,48.062011333625215,,39.01210488952642,-1.7036879692006763
2016-07-13,8776.4072265625,8986.7841796875,8771.833984375,8817.5673828125,177855,8576.54814453125,72.59037868716551,,36.44860776693475,4.342064508907234
2016-07-14,8877.0224609375,8904.462890625,8753.5400390625,8854.1552734375,180108,8584.32294921875,91.63766902888604,,47.57653429465234,5.213850113626613
2016-07-15,8913.609375,8968.4912109375,8771.833984375,8890.7421875,212453,8606.73271484375,93.10344827586206,,74.70586819151931,13.740112472190056
2016-07-18,8927.330078125,9027.9453125,8909.0361328125,8918.18359375,123765,8645.6068359375,88.54168693993644,-210.3964328328799,67.83041172335939,32.29673116294709
2016-07-19,8909.0361328125,8986.7841796875,8845.0078125,8918.18359375,95622,8697.74384765625,86.45832696173426,-189.05529163120565,60.17963325356879,35.62334386098702
2016-07-20,8982.2109375,9005.078125,8886.1689453125,8950.197265625,144408,8771.8333984375,94.79165566117736,-167.4140706369903,56.535922855825,61.3332979538322
2016-07-21,8991.3583984375,9023.3720703125,8899.8896484375,8950.197265625,117704,8840.43486328125,95.83339125696126,-146.1917210791707,61.619726516830106,89.77767122578466
2016-07-22,8959.34375,9009.6513671875,8936.4765625,8959.34375,96750,8890.742578125,92.18748349176605,-126.52199716880855,67.8294082837788,87.63891642398782
2016-07-25,9055.3857421875,9069.1064453125,8941.05078125,8968.4912109375,140923,8920.0125,98.50741749763498,-107.03588524820782,79.67470641898431,96.93853786012541
2016-07-26,9046.2392578125,9101.1201171875,9005.078125,9082.826171875,140680,8943.7943359375,94.23079785669593,-88.58832233441072,90.74072975671481,99.49477979198988
2016-07-27,8918.18359375,9128.560546875,8748.9658203125,8963.9169921875,277993,8957.97197265625,72.45515872812918,-73.59989617273052,79.13045173581003,56.06218877049171
2016-07-28,8552.30859375,8959.34375,8552.30859375,8954.7705078125,314340,8925.5005859375,17.647042404483845,-67.23488086547334,53.79061010063635,-25.298864632735498
2016-07-29,8780.98046875,8785.5537109375,8566.029296875,8630.0576171875,293461,8912.2376953125,39.68262038157409,-62.806948934097115,50.769239613643215,-17.304174233026213
2016-08-01,8662.0712890625,8803.84765625,8611.763671875,8803.84765625,162087,8885.71181640625,19.04769167675001,-61.5792396162078,44.20290864190654,-25.55498891486806
