date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,CPI,2525.25,2548.5,2437.949951171875,2462.25,272138,2534.7,46.17834394904459,36.98099768037228,57.48752079866889,10.056129274625851,,,,231992.0,1668696954.0,0.0001390258425557,2525.25,
2020-01-03,CPI,2475.0,2526.75,2475.0,2514.75,208704,2510.1,32.72425249169435,34.047970381126184,56.54664484451718,-5.731780329593895,,,,152679.0,1668696954.0,9.149594216853829e-05,2475.0,
2020-01-06,CPI,2465.25,2496.75,2441.25,2496.75,252898,2489.55,8.131868131868131,30.786495960122256,53.85920271416455,-32.00753554331873,,,,200640.0,1668696954.0,0.0001202375299595,2465.25,
2020-01-07,CPI,2490.75,2602.5,2430.0,2430.0,314727,2485.125,17.419354838709676,27.82679807983524,39.48832035595106,-0.453759799564204,,,,262726.0,1668696954.0,0.0001574438063006,2490.75,
2020-01-08,CPI,2448.75,2508.75,2435.010009765625,2482.5,314279,2483.925,6.443298969072165,24.477891770747984,25.465838509316782,-44.39871346297849,,,,279702.0,1668696954.0,0.0001676170135802,2448.75,
2020-01-09,CPI,2454.75,2478.0,2419.5,2447.25,213720,2482.8,11.691542288557214,21.100528790249243,27.272727272727263,-57.66421058466438,,,,193842.0,1668696954.0,0.0001161636925957,2454.75,
2020-01-10,CPI,2511.75,2522.25,2470.5,2475.0,235017,2481.45,49.596774193548384,18.74368600376323,36.58227848101266,-13.751348056596315,,,,218072.0,1668696954.0,0.0001306840043527,2511.75,
2020-01-13,CPI,2500.5,2574.75,2472.929931640625,2490.0,201586,2481.75,44.26229508196721,16.92782726614073,46.31410256410256,-7.7633393784576095,,,,179167.0,1668696954.0,0.0001073694055535,2500.5,
2020-01-14,CPI,2550.0,2559.77978515625,2490.0,2490.0,224331,2488.35,71.31147540983606,16.297398812590366,60.06768189509307,2.1602098444835165,,,,195680.0,1668696954.0,0.0001172651508297,2550.0,
2020-01-15,CPI,2586.75,2648.25,2576.969970703125,2616.75,504715,2500.875,73.11475409836065,16.99220291457032,62.7172195892575,84.50785779144259,,,,299291.0,1668696954.0,0.0001793561133329,2586.75,
2020-01-16,CPI,2553.75,2622.75,2553.75,2580.0,462540,2503.725,58.68852459016394,17.915989935093187,53.17725752508361,71.8777761807218,,-5.485,-5.485,,,,,
2020-01-17,CPI,2585.25,2609.25,2543.25,2590.5,241398,2514.75,72.45901639344262,19.396602508190878,59.70149253731344,97.75420528948132,,-2.189,-2.189,210682.0,1668696954.0,0.0001262553991573,2585.25,
2020-01-20,CPI,2469.75,2549.25,2469.389892578125,2535.0,275989,2515.2,21.9672131147541,19.26166256908036,48.714479025710425,-28.612582290878223,,1.731,1.731,,,,,
2020-01-21,CPI,2419.5,2468.8798828125,2383.5,2466.0,310191,2508.075,13.59773371104816,17.275588761418724,46.39175257731959,-175.48470878120065,,,1.731,210839.0,1668696954.0,0.0001263494845451,2419.5,
2020-01-22,CPI,2378.25,2435.25,2368.5,2392.5,350722,2501.025,3.485254691689008,13.535879158801544,36.8632707774799,-202.3441215186754,,,1.731,319005.0,1668696954.0,0.0001911701218338,2378.25,
2020-01-23,CPI,2358.0,2393.25,2358.0,2362.5,262939,2491.35,0.0,8.539138440716757,38.95184135977337,-200.7344592985256,,,1.731,223317.0,1668696954.0,0.0001338271754285,2358.0,
2020-01-24,CPI,2388.0,2429.25,2372.25,2385.0,242496,2478.975,10.3359173126615,3.4756224321969755,42.97407912687586,-130.94492738484544,,,1.731,187311.0,1668696954.0,0.0001122498603182,2388.0,
2020-01-27,CPI,2313.75,2403.75,2306.25,2403.75,380825,2460.3,2.192982456140351,-2.5568461896694847,35.21303258145363,-171.3896273404181,,,1.731,303221.0,1668696954.0,0.0001817112443773,2313.75,
2020-01-28,CPI,2303.25,2370.75,2294.25,2302.5,318429,2435.625,2.542372881355932,-9.042097362368429,37.16931216931216,-162.51609477912987,,2.305,2.305,246237.0,1668696954.0,0.000147562443504,2303.25,0.2718267103152721
2020-01-29,CPI,2259.0,2334.75,2259.0,2334.75,410866,2402.85,0.0,-16.156550420296963,33.82899628252788,-166.9061159055682,,,2.305,281804.0,1668696954.0,0.0001688766790905,2259.0,0.2775382661004603
2020-01-30,CPI,2202.75,2280.75,2190.75,2280.75,367515,2367.75,2.622950819672131,-24.153035495742262,24.44168734491315,-180.63389942208715,,,2.305,358637.0,1668696954.0,0.0002149203899128,2202.75,0.2811939474790836
2020-01-31,CPI,2181.75,2254.5,2181.75,2235.0,360195,2327.4,0.0,-32.56316527223859,24.053724053724054,-162.03939949656024,,,2.305,260220.0,1668696954.0,0.000155942035716,2181.75,0.2786218712782486
2020-02-03,CPI,2200.5,2214.75,2156.25,2189.25,436954,2300.475,8.99390243902439,-40.41832329410779,20.05141388174808,-146.19504471364164,,,2.305,311061.0,1668696954.0,0.0001864095210663,2200.5,0.2818138503340308
2020-02-04,CPI,2274.75,2291.25,2212.5,2212.5,352122,2286.0,25.40192926045016,-46.23711848903791,24.8792270531401,-91.04179520474216,,,2.305,290994.0,1668696954.0,0.0001743839702604,2274.75,0.2979507386227226
2020-02-05,CPI,2308.5,2331.0,2256.75,2295.0,387207,2279.025,33.609271523178805,-49.8306847714195,30.277442702050664,-60.70289242324036,,,2.305,321902.0,1668696954.0,0.0001929062069828,2308.5,0.3059858087443062
2020-02-06,CPI,2283.75,2332.5,2270.25,2316.0,230090,2271.6,32.44274809160305,-52.12243758322088,25.48780487804879,-56.97361257610372,,,2.305,164898.0,1668696954.0,9.88184221255551e-05,2283.75,0.2936888148262498
2020-02-07,CPI,2241.0,2283.75,2223.75,2280.0,179254,2256.9,27.108732932874773,-54.04135516615799,28.9073305670816,-76.77751854289036,,,2.305,156816.0,1668696954.0,9.39751220999712e-05,2241.0,0.2876271464503872
2020-02-10,CPI,2254.5,2265.75,2212.5,2265.0,177699,2250.975,35.215053763440864,-55.28743822485263,33.67952522255193,-73.37530814022806,,,2.126,144000.0,1668696954.0,8.629487796140605e-05,2254.5,0.2903470173986531
2020-02-11,CPI,2298.0,2306.25,2265.0,2265.0,187852,2250.45,51.92307692307692,-55.22645155650108,42.09748892171344,-40.85764167293649,,1.61,1.61,,,,,0.2971639777792664
2020-02-12,CPI,2257.5,2313.75,2225.699951171875,2298.75,204192,2250.3,37.08791208791209,-54.86969751921017,40.48295454545454,-52.0355538432515,,,1.61,191179.0,1668696954.0,0.0001145678366234,2257.5,0.2637443836755065
2020-02-13,CPI,2265.0,2297.25,2235.0,2250.0,212425,2256.525,43.93939393939394,-54.101546601874105,37.83382789317507,-47.20943801850916,,1.801,1.801,,,,,0.2529084646640837
2020-02-14,CPI,2245.5,2283.0,2245.5,2282.25,219918,2262.9,41.60839160839161,-53.30361057339148,42.42928452579036,-49.46765541642006,,,1.801,153302.0,1668696954.0,9.186928736971854e-05,2245.5,0.2529394402795193
