date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-03-02,RR,211.32290649414065,223.40240478515625,206.3126983642578,221.6179962158203,52046965,217.50680236816407,23.718012666670468,-3.855738924805136,26.720154891319595,-93.48237383884184,0.3774666666666667,-8.019,-8.019,46708645.0,1930995313.0,0.024188896102204,211.324086,0.2986808323087121
2020-03-03,RR,218.1862945556641,222.71609497070312,211.8719940185547,213.4506072998047,36047082,216.16158142089844,39.74370941905473,-4.189175417145098,33.57592321430552,-57.83599002242922,0.0,-6.563,-6.563,27087405.0,1930995313.0,0.0140276907031519,218.187486,0.3274872759334147
2020-03-04,RR,208.4403076171875,219.5590057373047,207.3421936035156,218.5980987548828,46502232,214.28102264404296,21.20007541156216,-4.527630391476018,34.1437901430992,-87.12121147744267,0.212475,-7.641,-7.641,,,,,0.3524867942886437
2020-03-05,RR,201.50830078125,210.7052001953125,193.82130432128903,208.3717041015625,30602888,211.62490234375,18.85528022702315,-4.9517652190217305,27.454985399827308,-133.568700530314,-0.05882500000000001,,-7.641,23393038.0,1930995313.0,0.0121144975560072,201.509424,0.3627632454017899
2020-03-06,RR,201.85150146484372,205.00860595703125,194.23309326171875,196.29220581054688,30328629,209.65512237548828,20.383385047038104,-5.390607029123197,25.66743901044433,-127.18696005297492,0.003250000000000003,-7.903,-7.903,23884739.0,1930995313.0,0.0123691335961311,201.852594,0.3369804742482628
2020-03-09,RR,194.98809814453125,198.69430541992188,189.222900390625,192.17410278320312,31554850,207.5892517089844,13.228271251193886,-5.912877385739911,24.17800689368836,-146.6222400962537,0.4938666666666667,-8.974,-8.974,26654774.0,1930995313.0,0.0138036451049635,194.989194,0.350197725059978
2020-03-10,RR,191.2819061279297,201.09649658203125,188.87969970703125,194.78219604492188,33864983,205.80478210449215,5.618039276421978,-6.505714349353724,24.41414730903773,-137.35982558492972,0.0,-8.952,-8.952,32438931.0,1930995313.0,0.016799072883094,191.282958,0.3418533099915377
2020-03-11,RR,184.48719787597656,193.82130432128903,182.70269775390625,192.7917938232422,51212957,203.0937515258789,3.8748661014405217,-7.205281364649369,21.42222794980768,-163.19887714083822,0.048328571428571436,,-8.952,25433196.0,1930995313.0,0.0131710293799144,184.488192,0.3467965270077823
2020-03-12,RR,154.83740234375,170.0054931640625,154.83740234375,155.11199951171875,54795049,197.96681213378903,0.0,-8.391695126888921,16.436527178620125,-256.1700478739151,-0.19833333333333333,-8.896,-8.896,54645374.0,1930995313.0,0.0282990712779632,154.838304,0.6325940700383149
2020-03-13,RR,164.720703125,171.1721954345703,156.14149475097656,160.80859375,38216511,193.1624618530273,14.414497818615256,-9.64425256612546,25.365291967112316,-191.53347477895332,0.296,-8.452,-8.452,35354576.0,1930995313.0,0.0183089911000731,164.7216,0.6977741144616796
2020-03-16,RR,147.5623016357422,155.9698944091797,119.18229675292967,154.42559814453125,34083354,186.7864013671875,27.23083425900589,-11.124377522012503,22.998280050594616,-229.71830092960235,-0.18076666666666666,-8.975,-8.975,,,,,0.7643008759530673
2020-03-17,RR,133.32080078125,154.08250427246094,127.96739959716795,152.02349853515625,34500945,178.2998519897461,13.566004003707668,-12.8714069144874,18.881333781738363,-190.94491994477053,0.0,,-8.975,31971556.0,1930995313.0,0.0165570344913623,133.321545,0.8123668233866044
2020-03-18,RR,118.87339782714844,129.78619384765625,107.27429962158205,127.69280242919922,49171760,169.3431610107422,9.98819208255254,-14.89530800564938,17.62610574918223,-199.89647624964527,-0.31122500000000003,-9.862,-9.862,46360095.0,1930995313.0,0.0240083933336818,118.874088,0.8622153283547216
2020-03-19,RR,125.35929870605467,128.5164031982422,105.043701171875,119.38819885253906,63970908,161.72826080322267,17.16443059443922,-16.8492224936985,17.521110092269552,-159.9326494669499,-0.17773333333333333,-11.715,-11.715,,,,,0.9051576623012324
2020-03-20,RR,123.33460235595705,131.81089782714844,118.18710327148438,130.197998046875,86335114,153.87657089233397,15.543918665708478,-18.650743370068568,17.445471715635733,-124.4753858239146,0.3612,,-11.715,40191910.0,1930995313.0,0.0208140898786324,123.335298,0.9055750967224676
2020-03-23,RR,115.33879852294922,118.11840057373048,102.95040130615234,114.2750015258789,140638081,145.9116409301758,10.623913455812938,-20.3473677452255,12.263976065145314,-127.95322202783692,0.25812500000000005,-11.462,-11.462,95461223.0,1930995313.0,0.0494362789786844,115.339437,0.8914134024696272
2020-03-24,RR,120.14309692382812,121.82469940185548,110.5687026977539,120.55490112304688,56664010,138.79776000976562,15.955387411896808,-21.766279630322945,16.38361413766168,-102.85061078725508,,-11.154,-11.154,52541131.0,1930995313.0,0.0272093519058686,120.143817,0.9231295735088654
