date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,ASC,3321.0,3389.0,3253.0,3389.0,381896,3231.2,79.58211748104804,28.293201856275232,75.1031636863824,108.3102445048677,0.18664545454545456,2.812,2.812,,,,,
2020-01-03,ASC,3414.0,3414.0,3287.0,3358.0,271465,3273.6,95.81171640636884,37.74305462440925,85.5421686746988,115.31742660134772,-0.0012333333333333298,,2.812,266203.0,83958859.0,0.0031706362279172,3414.0,
2020-01-06,ASC,3372.0,3405.512939453125,3300.0,3375.0,318068,3300.8,88.21428571428571,46.04894450778198,80.31496062992126,96.64833931424724,0.25093333333333334,,2.812,281679.0,83958859.0,0.0033549646023655,3372.0,
2020-01-07,ASC,3418.0,3461.570068359375,3357.0,3357.0,280169,3329.6,92.53387541244771,53.83136041933771,79.3956043956044,105.70219599651372,0.13485238095238095,2.394,2.394,267913.0,83958859.0,0.0031910033460554,3418.0,
2020-01-08,ASC,3457.0,3499.0,3379.0,3499.0,253968,3355.9,93.23671497584542,61.37723554768021,80.18494055482167,107.63973177688057,0.2726117647058824,,2.394,240653.0,83958859.0,0.0028663205153848,3457.0,
2020-01-09,ASC,3489.0,3560.0,3457.0,3457.0,431094,3382.4,87.98646362098138,68.74993442785596,82.02824133504492,117.08668719101452,0.1666529411764706,2.49,2.49,423797.0,83958859.0,0.0050476745997703,3489.0,
2020-01-10,ASC,3418.0,3531.114990234375,3400.0,3500.0,491209,3388.7,72.37354085603113,74.33814219254958,71.48648648648648,87.92700355173206,-0.03371,,2.49,277132.0,83958859.0,0.0033008071250706,3418.0,
2020-01-13,ASC,3300.0,3531.110107421875,3287.780029296875,3376.0,380766,3387.8,41.309255079006775,76.46286966655812,60.26570048309178,52.5240325255234,0.06314827586206896,,2.49,389852.0,83958859.0,0.0046433694388343,3300.0,
2020-01-14,ASC,3326.0,3425.0,3299.0,3390.0,716632,3388.8,44.1527446300716,76.54591353599196,58.35443037974685,37.74407937132542,0.145835,2.527,2.527,688320.0,83958859.0,0.0081983010274115,3326.0,
2020-01-15,ASC,3186.0,3420.0,3186.0,3420.0,522286,3370.1,0.0,72.93683452499042,47.888888888888886,-12.195971431354046,0.2068111111111111,2.534,2.534,511557.0,83958859.0,0.0060929484522889,3186.0,
